"","BirdID","chickyear","ars","NestID","sex"
"2",7214,"2022",0,NA,0
"2268",7187,"2022",0,NA,0
"2267",7146,"2022",0,NA,0
"1",7139,"2020",0,NA,0
"2266",7139,"2021",0,NA,0
"2265",7136,"2021",0,NA,0
"3",7136,"2022",0,NA,0
"1500",7132,"2020",0,NA,0
"3203",7132,"2022",0,NA,0
"1499",7123,"2020",0,NA,0
"3202",7123,"2022",0,NA,0
"1498",7118,"2020",0,NA,0
"1497",7117,"2020",0,NA,0
"3201",7117,"2022",0,NA,0
"2264",7094,"2020",0,NA,0
"3200",7094,"2021",0,NA,0
"4",7094,"2022",0,NA,0
"1496",7093,"2019",0,NA,0
"2263",7093,"2020",0,NA,0
"4207",7093,"2022",0,NA,0
"1495",7091,"2019",0,NA,0
"2262",7091,"2020",0,NA,0
"4206",7091,"2022",0,NA,0
"1494",7083,"2019",0,NA,0
"2261",7083,"2020",0,NA,0
"4205",7083,"2022",0,NA,0
"1493",7079,"2019",0,NA,0
"2260",7079,"2020",0,NA,0
"4204",7079,"2022",0,NA,0
"1492",7076,"2019",0,NA,0
"2259",7076,"2020",0,NA,0
"3199",7076,"2021",0,NA,0
"1491",7073,"2019",0,NA,0
"2258",7073,"2020",0,NA,0
"4203",7073,"2022",0,NA,0
"1490",6926,"2018",0,NA,0
"2257",6926,"2019",0,NA,0
"4202",6926,"2021",0,NA,0
"5",6926,"2022",0,NA,0
"1489",6925,"2018",0,NA,0
"2256",6925,"2019",0,NA,0
"3198",6925,"2020",0,NA,0
"5162",6925,"2022",0,NA,0
"1488",6920,"2018",0,NA,0
"2255",6920,"2019",0,NA,0
"3197",6920,"2020",0,NA,0
"5161",6920,"2022",0,NA,0
"1487",6909,"2018",0,NA,0
"2254",6909,"2019",0,NA,0
"3196",6909,"2020",0,NA,0
"5160",6909,"2022",0,NA,0
"1486",6905,"2018",0,NA,0
"2253",6905,"2019",0,NA,0
"3195",6905,"2020",0,NA,0
"5159",6905,"2022",0,NA,0
"1485",6902,"2018",0,NA,0
"2252",6902,"2019",0,NA,0
"4201",6902,"2021",0,NA,0
"1484",6881,"2018",0,NA,0
"2251",6881,"2019",0,NA,0
"3194",6881,"2020",0,NA,0
"5158",6881,"2022",0,NA,0
"1483",6875,"2018",0,NA,0
"2250",6875,"2019",0,NA,0
"3193",6875,"2020",0,NA,0
"5157",6875,"2022",0,NA,0
"1482",6856,"2018",0,NA,0
"2249",6856,"2019",0,NA,0
"3192",6856,"2020",0,NA,0
"5156",6856,"2022",0,NA,0
"1481",6852,"2018",0,NA,0
"2248",6852,"2019",0,NA,0
"3191",6852,"2020",0,NA,0
"5155",6852,"2022",0,NA,0
"2247",6849,"2019",0,NA,0
"3190",6849,"2020",0,NA,0
"5154",6849,"2022",0,NA,0
"1480",6847,"2018",0,NA,0
"3189",6847,"2020",0,NA,0
"4200",6847,"2021",0,NA,0
"5153",6847,"2022",0,NA,0
"1479",6840,"2018",0,NA,0
"5152",6840,"2022",0,NA,0
"1478",6838,"2018",0,NA,0
"2246",6838,"2019",0,NA,0
"4199",6838,"2021",0,NA,0
"5151",6838,"2022",0,NA,0
"1477",6836,"2018",0,NA,0
"3188",6836,"2020",0,NA,0
"1476",6773,"2017",0,NA,0
"3187",6773,"2019",0,NA,0
"4198",6773,"2020",0,NA,0
"1475",6769,"2017",0,NA,0
"2245",6769,"2018",0,NA,0
"3186",6769,"2019",0,NA,0
"6",6769,"2022",0,NA,0
"1474",6766,"2017",0,NA,0
"2244",6766,"2018",0,NA,0
"3185",6766,"2019",0,NA,0
"6161",6766,"2022",0,NA,0
"1473",6765,"2017",0,NA,0
"2243",6765,"2018",0,NA,0
"3184",6765,"2019",0,NA,0
"4197",6765,"2020",0,NA,0
"1472",6757,"2017",0,NA,0
"2242",6757,"2018",0,NA,0
"4196",6757,"2020",0,NA,0
"5150",6757,"2021",0,NA,0
"6160",6757,"2022",0,NA,0
"1471",6754,"2017",0,NA,0
"2241",6754,"2018",0,NA,0
"3183",6754,"2019",0,NA,0
"6159",6754,"2022",0,NA,0
"1470",6752,"2017",0,NA,0
"2240",6752,"2018",0,NA,0
"3182",6752,"2019",0,NA,0
"6158",6752,"2022",0,NA,0
"1469",6743,"2017",0,NA,0
"2239",6743,"2018",0,NA,0
"4195",6743,"2020",0,NA,0
"6157",6743,"2022",0,NA,0
"1468",6738,"2017",0,NA,0
"2238",6738,"2018",0,NA,0
"3181",6738,"2019",0,NA,0
"4194",6738,"2020",0,NA,0
"6156",6738,"2022",0,NA,0
"1467",6737,"2017",0,NA,0
"3180",6737,"2019",0,NA,0
"6155",6737,"2022",0,NA,0
"1466",6733,"2017",0,NA,0
"2237",6733,"2018",0,NA,0
"3179",6733,"2019",0,NA,0
"5149",6733,"2021",0,NA,0
"6154",6733,"2022",0,NA,0
"2236",6727,"2018",0,NA,0
"1465",6707,"2017",0,NA,0
"3178",6707,"2019",0,NA,0
"5148",6707,"2021",0,NA,0
"6153",6707,"2022",0,NA,0
"1464",6704,"2017",0,NA,0
"2235",6704,"2018",0,NA,0
"3177",6704,"2019",0,NA,0
"4193",6704,"2020",0,NA,0
"1463",6703,"2017",0,NA,0
"2234",6703,"2018",0,NA,0
"4192",6703,"2020",0,NA,0
"5147",6703,"2021",0,NA,0
"6152",6703,"2022",0,NA,0
"1462",6700,"2017",0,NA,0
"3176",6700,"2019",0,NA,0
"5146",6700,"2021",0,NA,0
"6151",6700,"2022",0,NA,0
"1461",6693,"2017",0,NA,0
"4191",6693,"2020",0,NA,0
"5145",6693,"2021",0,NA,0
"1460",6690,"2017",0,NA,0
"4190",6690,"2020",0,NA,0
"5144",6690,"2021",0,NA,0
"1459",6673,"2016",0,NA,0
"6150",6673,"2021",0,NA,0
"7",6673,"2022",0,NA,0
"1458",6669,"2016",0,NA,0
"2233",6669,"2017",0,NA,0
"4189",6669,"2019",0,NA,0
"1457",6665,"2016",0,NA,0
"2232",6665,"2017",0,NA,0
"3175",6665,"2018",0,NA,0
"4188",6665,"2019",0,NA,0
"5143",6665,"2020",0,NA,0
"1456",6659,"2016",0,NA,0
"3174",6659,"2018",0,NA,0
"4187",6659,"2019",0,NA,0
"5142",6659,"2020",0,NA,0
"7133",6659,"2022",0,NA,0
"1455",6657,"2016",0,NA,0
"3173",6657,"2018",0,NA,0
"4186",6657,"2019",0,NA,0
"5141",6657,"2020",0,NA,0
"6149",6657,"2021",0,NA,0
"1454",6656,"2016",0,NA,0
"3172",6656,"2018",0,NA,0
"4185",6656,"2019",0,NA,0
"6148",6656,"2021",0,NA,0
"7132",6656,"2022",0,NA,0
"1453",6652,"2016",0,NA,0
"4184",6652,"2019",0,NA,0
"6147",6652,"2021",0,NA,0
"7131",6652,"2022",0,NA,0
"1452",6647,"2016",0,NA,0
"3171",6647,"2018",0,NA,0
"1451",6644,"2016",0,NA,0
"2231",6644,"2017",0,NA,0
"5140",6644,"2020",0,NA,0
"6146",6644,"2021",0,NA,0
"7130",6644,"2022",0,NA,0
"1450",6571,"2016",0,NA,0
"2230",6571,"2017",0,NA,0
"4183",6571,"2019",0,NA,0
"1449",6568,"2016",0,NA,0
"5139",6568,"2020",0,NA,0
"6145",6568,"2021",0,NA,0
"7129",6568,"2022",0,NA,0
"1448",6561,"2016",0,NA,0
"2229",6561,"2017",0,NA,0
"4182",6561,"2019",0,NA,0
"5138",6561,"2020",0,NA,0
"1447",6558,"2016",0,NA,0
"2228",6558,"2017",0,NA,0
"3170",6558,"2018",0,NA,0
"5137",6558,"2020",0,NA,0
"7128",6558,"2022",0,NA,0
"1446",6554,"2016",0,NA,0
"1445",6551,"2016",0,NA,0
"4181",6551,"2019",0,NA,0
"6144",6551,"2021",0,NA,0
"7127",6551,"2022",0,NA,0
"1444",6550,"2016",0,NA,0
"2227",6550,"2017",0,NA,0
"3169",6550,"2018",0,NA,0
"5136",6550,"2020",0,NA,0
"6143",6550,"2021",0,NA,0
"7126",6550,"2022",0,NA,0
"1443",6547,"2016",0,NA,0
"2226",6547,"2017",0,NA,0
"4180",6547,"2019",0,NA,0
"1442",6546,"2016",0,NA,0
"2225",6546,"2017",0,NA,0
"3168",6546,"2018",0,NA,0
"4179",6546,"2019",0,NA,0
"1441",6378,"2015",0,NA,0
"2224",6378,"2016",0,NA,0
"4178",6378,"2018",0,NA,0
"5135",6378,"2019",0,NA,0
"6142",6378,"2020",0,NA,0
"7125",6378,"2021",0,NA,0
"8",6378,"2022",0,NA,0
"1440",6377,"2015",0,NA,0
"2223",6377,"2016",0,NA,0
"5134",6377,"2019",0,NA,0
"6141",6377,"2020",0,NA,0
"7124",6377,"2021",0,NA,0
"1439",6272,"2014",0,NA,0
"2222",6272,"2015",0,NA,0
"3167",6272,"2016",0,NA,0
"7123",6272,"2020",0,NA,0
"8123",6272,"2021",0,NA,0
"1438",6233,"2014",0,NA,0
"2221",6233,"2015",0,NA,0
"3166",6233,"2016",0,NA,0
"4177",6233,"2017",0,NA,0
"7122",6233,"2020",0,NA,0
"9",6233,"2022",0,NA,0
"1437",6229,"2014",0,NA,0
"4176",6229,"2017",0,NA,0
"8122",6229,"2021",0,NA,0
"1436",6217,"2014",0,NA,0
"3165",6217,"2016",0,NA,0
"4175",6217,"2017",0,NA,0
"6140",6217,"2019",0,NA,0
"7121",6217,"2020",0,NA,0
"8121",6217,"2021",0,NA,0
"993",6217,"2022",0,NA,0
"1435",6215,"2014",0,NA,0
"2220",6215,"2015",0,NA,0
"3164",6215,"2016",0,NA,0
"7120",6215,"2020",0,NA,0
"8120",6215,"2021",0,NA,0
"1434",6214,"2014",0,NA,0
"1433",6211,"2014",0,NA,0
"3163",6211,"2016",0,NA,0
"8119",6211,"2021",0,NA,0
"1432",6199,"2014",0,NA,0
"2219",6199,"2015",0,NA,0
"4174",6199,"2017",0,NA,0
"6139",6199,"2019",0,NA,0
"8118",6199,"2021",0,NA,0
"992",6199,"2022",0,NA,0
"1431",6195,"2014",0,NA,0
"2218",6195,"2015",0,NA,0
"3162",6195,"2016",0,NA,0
"4173",6195,"2017",0,NA,0
"6138",6195,"2019",0,NA,0
"7119",6195,"2020",0,NA,0
"8117",6195,"2021",0,NA,0
"991",6195,"2022",0,NA,0
"1430",6194,"2014",0,NA,0
"3161",6194,"2016",0,NA,0
"4172",6194,"2017",0,NA,0
"1409",6191,"2014",0,NA,0
"2217",6191,"2015",0,NA,0
"5133",6191,"2018",0,NA,0
"6137",6191,"2019",0,NA,0
"8116",6191,"2021",0,NA,0
"990",6191,"2022",0,NA,0
"1408",6188,"2014",0,NA,0
"2216",6188,"2015",0,NA,0
"3160",6188,"2016",0,NA,0
"4171",6188,"2017",0,NA,0
"6136",6188,"2019",0,NA,0
"7118",6188,"2020",0,NA,0
"1407",6187,"2014",0,NA,0
"2215",6187,"2015",0,NA,0
"3159",6187,"2016",0,NA,0
"4170",6187,"2017",0,NA,0
"7117",6187,"2020",0,NA,0
"989",6187,"2022",0,NA,0
"1406",6186,"2014",0,NA,0
"2214",6186,"2015",0,NA,0
"5132",6186,"2018",0,NA,0
"6135",6186,"2019",0,NA,0
"7116",6186,"2020",0,NA,0
"988",6186,"2022",0,NA,0
"1405",6185,"2014",0,NA,0
"2213",6185,"2015",0,NA,0
"3158",6185,"2016",0,NA,0
"8115",6185,"2021",0,NA,0
"987",6185,"2022",0,NA,0
"1404",6182,"2014",0,NA,0
"3157",6182,"2016",0,NA,0
"1403",6181,"2014",0,NA,0
"3156",6181,"2016",0,NA,0
"4169",6181,"2017",0,NA,0
"6134",6181,"2019",0,NA,0
"1402",6174,"2014",0,NA,0
"2212",6174,"2015",0,NA,0
"3155",6174,"2016",0,NA,0
"5131",6174,"2018",0,NA,0
"6133",6174,"2019",0,NA,0
"7115",6174,"2020",0,NA,0
"8114",6174,"2021",0,NA,0
"1401",6169,"2014",0,NA,0
"2211",6169,"2015",0,NA,0
"3154",6169,"2016",0,NA,0
"5130",6169,"2018",0,NA,0
"6132",6169,"2019",0,NA,0
"7114",6169,"2020",0,NA,0
"1400",6168,"2014",0,NA,0
