"","BirdID","newlifespan"
"1",20,844
"2",21,4916
"3",22,5196
"4",23,2813
"5",24,2636
"6",25,4701
"7",26,402
"8",27,1130
"9",28,3028
"10",29,5088
"11",30,1385
"12",31,4499
"13",32,278
"14",33,3413
"15",34,2915
"16",35,935
"17",36,2577
"18",37,3052
"19",38,1993
"20",39,1953
"21",40,4573
"22",41,316
"23",42,4630
"24",43,490
"25",44,4437
"26",45,374
"27",46,370
"28",47,370
"29",48,329
"30",49,365
"31",50,358
"32",51,5687
"33",52,325
"34",53,318
"35",54,2340
"36",55,316
"37",56,308
"38",57,305
"39",58,304
"40",59,301
"41",60,288
"42",61,701
"43",62,278
"44",63,271
"45",64,3877
"46",65,3877
"47",66,154
"48",67,1112
"49",68,574
"50",69,1109
"51",70,149
"52",71,1582
"53",72,142
"54",73,1572
"55",74,558
"56",75,3254
"57",76,134
"58",77,1567
"59",78,4389
"60",79,1559
"61",80,111
"62",81,105
"63",82,1536
"64",83,100
"65",84,99
"66",85,94
"67",86,77
"68",87,67
"69",88,65
"70",89,65
"71",90,63
"72",91,365
"73",92,753
"74",93,1285
"75",94,1706
"76",95,556
"77",96,280
"78",97,1115
"79",98,1565
"80",99,1107
"81",100,129
"82",101,129
"83",102,122
"84",103,122
"85",104,117
"86",105,114
"87",106,80
"88",107,79
"89",108,90
"90",109,457
"91",110,99
"92",111,98
"93",112,96
"94",160,345
"95",161,282
"96",162,260
"97",163,3839
"98",164,85
"99",165,302
"100",166,267
"101",167,604
"102",168,4394
"103",169,4030
"104",170,899
"105",171,3358
"106",172,2966
"107",173,1299
"108",174,1204
"109",175,241
"110",176,5132
"111",177,242
"112",178,3483
"113",184,365
"114",185,1133
"115",186,303
"116",187,13
"117",188,55
"118",189,1133
"119",190,82
"120",191,373
"121",192,849
"122",193,374
"123",194,84
"124",195,85
"125",196,85
"126",197,376
"127",198,86
"128",199,5783
"129",200,4033
"130",201,378
"131",202,438
"132",203,341
"133",204,624
"134",205,567
"135",206,181
"136",207,3201
"137",208,3351
"138",209,274
"139",210,451
"140",211,49
"141",212,10
"142",213,1864
"143",214,504
"144",215,4078
"145",216,4747
"146",217,2931
"147",218,233
"148",219,225
"149",220,4731
"150",221,6378
"151",222,547
"152",223,547
"153",224,182
"154",225,807
"155",226,491
"156",227,180
"157",228,181
"158",229,545
"159",230,545
"160",231,491
"161",232,491
"162",233,1281
"163",234,179
"164",235,179
"165",236,179
"166",237,1872
"167",238,188
"168",239,178
"169",240,178
"170",241,543
"171",242,177
"172",243,177
"173",244,543
"174",245,542
"175",246,177
"176",247,541
"177",248,541
"178",249,176
"179",250,186
"180",251,2197
"181",252,29
"182",293,2889
"183",294,1795
"184",295,604
"185",296,646
"186",297,4574
"187",298,2889
"188",299,75
"189",300,75
"190",301,74
"191",302,74
