BirdID;BirthDate;NestID;SocialMother;SocialFather;GeneticMother;GenMumConfidence;GeneticFather;GenDadConfidence
1;04/11/1996;;;;;;;
2;01/01/1999;;;;;;;
3;04/11/1996;;;;;;;
4;04/11/1996;;;;;;;
5;29/02/1996;;;;;;;
6;02/03/1996;;;;;;;
7;17/07/1994;;;;;;;
8;09/07/1996;;;;;;;
9;06/03/1996;;;;;;;
10;09/07/1996;;;;;;;
11;09/07/1996;;;;;;;
12;20/11/1987;;;;;;;
13;13/12/1996;;;;;;;
14;13/03/1996;;;;;;;
15;13/03/1996;;;;;;;
16;13/12/1996;;;;;;;
17;31/12/1996;;;;;;;
18;31/12/1996;;;;;;;
19;31/12/1996;;;;;;;
20;05/06/1982;;;;;;;
21;25/02/1983;;;;;;;
22;07/06/1983;;;;;;;
23;30/12/1982;;;;;;;
24;25/06/1983;;;;;;;
25;28/09/1983;;;;;;;
26;22/10/1982;;;;;;;
27;24/10/1982;;;;;;;
28;16/09/1983;;;;;;;
29;23/09/1983;;;;;;;
30;19/02/1983;;;;;;;
31;21/05/1983;;;;;;;
32;23/02/1983;;;;;;;
33;27/08/1982;;;;;;;
34;07/01/1984;;;;;;;
35;14/05/1984;;;;;;;
36;23/08/1983;;;;;;;
37;23/08/1983;;;;;;;
38;12/06/1984;;;;;;;
39;22/07/1984;;;;;;;
40;03/02/1984;;;;;;;
41;15/01/1985;;;;;;;
42;24/12/1984;;;;;;;
43;25/09/1986;;;;;;;
44;04/08/1986;;;;;;;
45;19/01/1987;;;;;;;
46;23/01/1987;;;;;;;
47;23/01/1987;;;;;;;
48;05/03/1987;;;;;;;
49;28/01/1987;;;;;;;
50;04/02/1987;;;;;;;
51;08/03/1987;;;;;;;
52;09/03/1987;;;;;;;
53;16/03/1987;;;;;;;
54;18/03/1987;;;;;;;
55;18/03/1987;;;;;;;
56;26/03/1987;;;;;;;
57;29/03/1987;;;;;;;
58;30/03/1987;;;;;;;
59;02/04/1987;;;;;;;
60;15/04/1987;;;;;;;
61;23/04/1987;;;;;;;
62;25/04/1987;;;;;;;
63;02/05/1987;;;;;;;
64;16/08/1987;;;;;;;
65;16/08/1987;;;;;;;
66;27/08/1987;;;;;;;
67;27/08/1987;;;;;;;
68;28/08/1987;;;;;;;
69;30/08/1987;;;;;;;
70;01/09/1987;;;;;;;
71;01/09/1987;;;;;;;
72;08/09/1987;;;;;;;
73;11/09/1987;;;;;;;
74;13/09/1987;;;;;;;
75;14/09/1987;;;;;;;
